Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
@enews I don’t care if he looted or not he was  getting shit for his vlog. He and his brother capitalize on people hurting. This ain’t the first time.,150,2020-05-31 21:39:05,Twitter for iPhone,38,1,sallydarr,1267209007065894917,False,,en,May
@yuhhboybryce Love you Bryce so proud of you working with patients throughout the pandemic and now marching!!! we stan!!!!,122,2020-05-31 21:36:27,Twitter for iPhone,1,1,sallydarr,1267208346081406979,False,,en,May
is feeling tired and spicy,26,2020-05-31 20:48:34,Twitter for iPhone,33,0,sallydarr,1267196295988510720,False,,en,May
@loversangeIs I STAN MADISON BEER MORE AND MORE EVERY DAY,57,2020-05-31 18:23:15,Twitter Web App,0,0,sallydarr,1267159724790878208,False,,en,May
I’ve never trusted bitches who “don’t want to get political” and I especially don’t trust creators that start their videos reminding their viewers that “they never post stuff like this” like okay good to know!!! that means you’ve never taken a stance on anything!!! sick!!!!,274,2020-05-31 14:58:06,Twitter for iPhone,144,13,sallydarr,1267108095655804928,False,,en,May
@lizardskizard_ this is kind and touché 🥺💕,42,2020-05-31 07:43:12,Twitter for iPhone,2,0,sallydarr,1266998650795896834,False,,en,May
@ceilidh_belnap I love you too 🥺💕,33,2020-05-30 04:30:31,Twitter for iPhone,0,0,sallydarr,1266587770111361024,False,,en,May
@SDGFanClub Wild good to know,29,2020-05-30 01:58:04,Twitter for iPhone,8,0,sallydarr,1266549407656394753,False,,en,May
@sadmattyh Hey I don’t know anything don’t worry we’re all just pretending out here,83,2020-05-29 19:42:42,Twitter for iPhone,2,0,sallydarr,1266454943327825920,False,,en,May
NOT being educated about what’s going on in the news is privilege in itself because it means it does not affect you in the way that it affects others. Educate yourself. Empathize. You may not understand the struggles of others. But that does not mean you cannot stand with them.,278,2020-05-29 19:38:37,Twitter for iPhone,149,19,sallydarr,1266453916566392833,False,,en,May
were y’all scared too,45,2020-05-29 19:21:32,Twitter for iPhone,25,0,sallydarr,1266449613604687872,False,https://t.co/oqDhCEYYWg,en,May
Also nevermind the fact that it was supposed to start at 2pm. He tweeted about the protests at 2:20. Then he doesn’t address anything about the protests at the podium a few minutes later? lol bye,195,2020-05-29 19:14:38,Twitter for iPhone,20,0,sallydarr,1266447880736382983,False,,en,May
Trump talking about Hong Kong and nothing about the protests and taking NO questions. What a great press conference!!!!,119,2020-05-29 19:12:43,Twitter for iPhone,46,1,sallydarr,1266447394809491457,False,,en,May
@yuhhboybryce I can taste it through the screen,47,2020-05-27 20:54:51,Twitter for iPhone,1,0,sallydarr,1265748322943406085,False,,en,May
youtube video of lore coming soon,57,2020-05-27 18:31:51,Twitter for iPhone,20,1,sallydarr,1265712334544277505,False,https://t.co/15SiNAUBwT,en,May
@SDGFanClub SWEETIES what this is insane you have done some digging,67,2020-05-27 18:31:03,Twitter for iPhone,2,0,sallydarr,1265712135914610688,False,,en,May
@SDGFanClub OMG THIS IS SOME LORE HAHAHA,40,2020-05-27 18:30:39,Twitter for iPhone,5,0,sallydarr,1265712034336911360,False,,en,May
roll wave rush tulane geaux nola,56,2020-05-27 18:30:05,Twitter for iPhone,21,0,sallydarr,1265711891265064963,False,https://t.co/qgD4N5fRqA,en,May
