Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Today, we join members of the Haitian community in Canada and around the world in celebrating Haiti’s Independence Day:",143,2020-01-01 14:11,Twitter for iPhone,1747,225,JustinTrudeau,1.21E+18,,,FALSE,,en,January,Q1
....it’s alienating independents. This President is being persecuted over three years with one investigation after another and that really plays to his base.” @FoxNews  @cvpayne  Their partisan Witch Hunt is hurting our Country do badly &amp; only bringing more division than ever!,285,2020-01-02 13:42,Twitter for iPhone,63741,14418,realDonaldTrump,1.21E+18,,,FALSE,,en,January,Q1
"Today is a great day for Washington. Whether it is a new baby, a sick family member or an unexpected need for yourself, you can start applying today for Paid Family and Medical Leave in our state.  @PaidLeaveWA 

What a great way to start 2020.

?",270,2020-01-02 18:52,Twitter Web App,217,51,GovInslee,1.21E+18,,1077214808,FALSE,https://t.co/45Ow2x2MeQ,en,January,Q1
"Last night the President engaged in what is widely being recognized as an act of war against Iran, one that now risks the lives of millions of innocent people.

Now is the moment to prevent war &amp; protect innocent people - the question for many is how, publicly &amp; Congressionally:",287,2020-01-03 19:46,Twitter for iPhone,104617,18160,aoc,1.21E+18,,138203134,FALSE,,en,January,Q1
"For a generation we lost Toronto’s Waterfront. A railway, an elevated expressway, and neglect got in the way. In recent years, under the leadership of ⁦@WaterfrontTO⁩, we’ve finally found it again. The Port Lands flood protection is the next big step",274,2020-01-04 15:09,Twitter for iPhone,67,14,joe_cressy,1.21E+18,,416025003,FALSE,https://t.co/JvOXCfNiUo,en,January,Q1
"Anti-Semitism is an attack on ALL New Yorkers — and we stand up for our neighbors in this city. 

Watch the #NoHateNoFear march right now:",186,2020-01-05 17:18,Twitter for iPhone,145,42,NYCMayor,1.21E+18,,19834403,FALSE,https://t.co/KP9fzINoQd,en,January,Q1
"When wildfires spread through our communities, Australia answered our call for help. Now, Canadians are doing the same. Our two countries are close allies, and so many Canadians have connections to Australia. We’re going to help our friends get through this.",282,2020-01-05 18:25,Twitter for iPhone,18455,3683,JustinTrudeau,1.21E+18,,,FALSE,,en,January,Q1
Incredible game! Skol #Vikings!,55,2020-01-05 21:30,Twitter for iPhone,458,25,GovTimWalz,1.21E+18,,1.06E+18,FALSE,https://t.co/wK2PTNVuPY,en,January,Q1
The fear and confusion fostered by Donald Trump’s destructive leadership is a disgrace to our country and an insult to our city’s values.,161,2020-01-06 2:04,Twitter for iPhone,189,36,NYCMayor,1.21E+18,,19834403,FALSE,https://t.co/O4XTirlH57,en,January,Q1
"Not sure what to do with your tree and greenery? @DCDPW is composting all holiday greenery for free! Call 311 to schedule your pickup today.

For drop-off locations visit:",219,2020-01-06 19:02,Twitter Web App,9,12,MayorBowser,1.21E+18,,976542720,FALSE,https://t.co/zfJHq2Ma2c,en,January,Q1
"On behalf of the whole Cressy clan, and especially my father who doesn’t tweet, a very big congratulations to @KenShawCTV. As a journalist, community builder, and long time United Way supporter, he helped tell and shape the story of our city. #KenShawDay",254,2020-01-07 0:03,Twitter for iPhone,18,1,joe_cressy,1.21E+18,,416025003,FALSE,,en,January,Q1
The NYPD is continuing to monitor activity in the Middle East and taking every necessary step to protect this city against any potential threats and keep New Yorkers safe.,171,2020-01-08 0:49,Twitter for iPhone,240,52,NYCMayor,1.21E+18,19834403,19834403,FALSE,,en,January,Q1
"I have spoken with @JimWatsonOttawa about this morning’s shooting in Ottawa &amp; the ongoing investigation. My heart goes out to everyone affected, and I hope all those injured have a speedy recovery. I’d also like to thank the @OttawaPolice &amp; paramedics for acting so quickly.",282,2020-01-08 18:39,Twitter Web App,1612,218,JustinTrudeau,1.21E+18,,,FALSE,,en,January,Q1
"Basic fairness and equity are the foundation of our legislative agenda for this session. If we are going to move forward, we must take an honest look at our past. We know that racial discrimination is rooted in many of the laws that have governed our Commonwealth. #SOTC",270,2020-01-09 0:52,Twitter Web App,69,16,GovernorVA,1.22E+18,,104198706,FALSE,,en,January,Q1
"To the Iranians: Please understand this will not stop President Trump in any fashion from doing what he said he would do if you continue to engage in hostilities against the U.S. or our allies.  

You move forward at your own peril.",232,2020-01-10 0:27,Twitter for iPhone,6525,1660,LindseyGrahamSC,1.22E+18,432895323,432895323,FALSE,,en,January,Q1
"The American people do NOT want a war with Iran — they know it would be a TRAGIC mistake.
 
Thank you, @SpeakerPelosi and the @HouseDemocrats, for voting to stop this march to war.",204,2020-01-10 1:33,Twitter for iPhone,158,34,NYCMayor,1.22E+18,,19834403,FALSE,https://t.co/BoENLqQGqD,en,January,Q1
"As Canadians gather across the country to mourn, we're all also looking for answers. 

I wholeheartedly support the government's calls and offer of support for a full investigation so we can get the answers we need and deserve.",227,2020-01-10 18:46,Twitter Web App,169,27,theJagmeetSingh,1.22E+18,253340075,253340075,FALSE,,en,January,Q1
"Toronto’s Transportation Services Capital Budget: 

3% on cycling, 
3% on road safety,
6% on congestion management,
44% on repairs to the Gardiner Expressway. 

A 20th Century budget for a city that should be a 21st Century leader.",255,2020-01-10 20:16,Twitter for iPhone,367,151,joe_cressy,1.22E+18,,416025003,FALSE,https://t.co/UclczaNrbR,en,January,Q1
...since the Supreme Court's decision in this case. Today's agreement will make school choice programs for families in the Hartford region more accessible and transparent as we continue our work to improve quality and equity for students in all schools. (2/4),259,2020-01-10 20:44,Twitter Web App,6,1,govnedlamont,1.22E+18,1.08E+18,1.08E+18,FALSE,,en,January,Q1
Trump’s “imminent threat” is the new “WMD”: there’s no evidence given for either.,81,2020-01-10 22:39,Twitter for iPhone,103984,17013,aoc,1.22E+18,,138203134,FALSE,,en,January,Q1
Where have the Radical Left Do Nothing Democrats gone when they have spent the last 3 days defending the life of Qassem Soleimani one of the worst terrorists in history and the father of the roadside bomb? He was also looking to do big future damage! Dems are “unhinged.”,275,2020-01-11 14:07,Twitter for iPhone,162433,35015,realDonaldTrump,1.22E+18,,,FALSE,,en,January,Q1
@jenniferhollett Fantastic news and well-deserved! Finally some good news in January 2020. 👏🏽👏🏽👏🏽,97,2020-01-11 15:13,Twitter for Android,2,0,kristynwongtam,1.22E+18,19714882,20452161,FALSE,,en,January,Q1
"As severe weather approaches our state today, every resident in NW FL should be prepared for heavy rain, strong winds, and be ready to seek shelter if a tornado warning is issued. Follow @FLSERT and local media for updates.",223,2020-01-11 15:24,Twitter Web App,866,251,GovRonDeSantis,1.22E+18,,1058807868,FALSE,,en,January,Q1
@MacLeodLisa Thank you Lisa,27,2020-01-11 20:43,Twitter for iPhone,7,2,fordnation,1.22E+18,35115058,2809959174,FALSE,,en,January,Q1
"We celebrate big wins in a big way. Congratulations to the Bison on their eighth national championship in nine years.

Photo by @Threefold.",163,2020-01-12 4:17,Twitter for iPhone,484,46,DougBurgum,1.22E+18,,518700708,FALSE,https://t.co/r5m3WJHFwr,en,January,Q1
Remarkable.,35,2020-01-12 13:10,Twitter for iPhone,55,11,joshmatlow,1.22E+18,15844405,15844405,FALSE,https://t.co/LvkIIh84Vk,en,January,Q1
To my Democratic colleagues and Libertarians who advocate for individual liberty: where are your voices when it comes to supporting the Iranian people and their desire to be free? Your silence is deafening and disappointing.,224,2020-01-12 19:26,Twitter for iPhone,7556,1691,LindseyGrahamSC,1.22E+18,432895323,432895323,FALSE,,en,January,Q1
,0,2020-01-12 19:37,Twitter for iPhone,34629,9702,realDonaldTrump,1.22E+18,,,FALSE,https://t.co/gdDcamhY9M,en,January,Q1
"Privileged to help cut the ribbon at today's opening of @BaptistHealthAR's new Graduate Medical Education building in NLR. Through a partnership with @uamshealth, this building houses 24 new residency slots, with the plan to expand to 120 or more opportunities in the future.",299,2020-01-13 22:20,Twitter Web App,60,8,AsaHutchinson,1.22E+18,,269992801,FALSE,https://t.co/8FHNMYJev9,en,January,Q1
@kyigit Thank you. It’s more than a soft spot. I love this neighborhood and its residents. I always will.,105,2020-01-14 3:59,Twitter for iPhone,0,0,joshmatlow,1.22E+18,16176235,15844405,FALSE,,en,January,Q1
"Canadians &amp; Ukrainians are working together on the ground in Iran, and we’ll continue to work together to get answers, accountability, and justice for all those who lost a loved one on flight 752. Read a summary of today’s call with @ZelenskyyUa here:",279,2020-01-14 22:15,Twitter Web App,1289,216,JustinTrudeau,1.22E+18,,,FALSE,,en,January,Q1
"Truth.
#YangGang",40,2020-01-15 0:35,Twitter for Android,11,5,kristynwongtam,1.22E+18,,20452161,FALSE,https://t.co/GnhxPOFSvd,en,January,Q1
"Through our #FamiliesFirstDC program, we are connecting District residents East of the River to programs and resources that will give them a #FairShot. Learn more about our work to ensure more residents get #EveryOpportunityToRise: 

#DC2020ACR",291,2020-01-15 14:36,Twitter Media Studio,10,4,MayorBowser,1.22E+18,,976542720,FALSE,https://t.co/hPbDNAniXR,en,January,Q1
"I am proposing that we invest $16 million in scholarships for students at our community colleges, state colleges, and University system to help connect the next generation of Nebraskans with great careers in fields ranging from math and engineering to healthcare and IT.",270,2020-01-15 16:15,Twitter Web App,3,2,GovRicketts,1.22E+18,2891165960,2891165960,FALSE,,en,January,Q1
"New York City has the best bagels in the world. But our BEST bagel?

Bagel Hole in Park Slope. No contest. 

Don't get there as much as I used to, but it was our go-to when the kids needed a bite before Little League.

Whole wheat. Extra cream cheese.

#NationalBagelDay",294,2020-01-15 19:33,Twitter for iPhone,147,23,NYCMayor,1.22E+18,,19834403,FALSE,https://t.co/W2VS6mq3Jx,en,January,Q1
"We can’t stand by while the Liberals keep putting our water, air, land, and families at risk.

We have to throw everything we have at fighting #climatechange.

That means creating more jobs by investing in new clean energy and taking concrete action to reduce emissions.",270,2020-01-16 22:27,Twitter for iPhone,401,72,theJagmeetSingh,1.22E+18,253340075,253340075,FALSE,,en,January,Q1
Arizona is the #1 inbound state in the nation — adding more than 300 new residents a day. My thanks to the Greater Phoenix Chamber and everyone who works to keep Arizona the most attractive state for people and businesses. @phxchamber,258,2020-01-17 1:29,Twitter Web App,78,13,dougducey,1.22E+18,,20217019,FALSE,https://t.co/ACkyOci90A,en,January,Q1
I know residents will be eager to return home. I want to ensure that residents have all the necessary support from the Landlord and property manager they need.,159,2020-01-17 20:31,Twitter Web App,4,0,kristynwongtam,1.22E+18,20452161,20452161,FALSE,,en,January,Q1
"I'm thinking about the people of Newfoundland and Labrador who were just hit with a massive blizzard. 

A state of emergency has been declared. 

Glad to see federal help is on its way.",209,2020-01-18 22:09,Twitter for iPhone,523,58,theJagmeetSingh,1.22E+18,,253340075,FALSE,https://t.co/MPxRMqPSCn,en,January,Q1
Don is absolutely right. @DonDavies,59,2020-01-19 21:56,Twitter for iPhone,12,1,joe_cressy,1.22E+18,,416025003,FALSE,https://t.co/sRISjeNyTe,en,January,Q1
"Right, because everyone knows the “realistic” thing to do is allow the CEO of The British Petroleum Company to dictate our carbon emissions policy.",171,2020-01-23 15:18,Twitter for iPhone,60109,9258,aoc,1.22E+18,,138203134,FALSE,https://t.co/yeAd8wzNe8,en,January,Q1
"With today’s unanimous Executive Committee vote to proceed with acquiring the air rights, we took a big step towards building Rail Deck Park. Great cities invest in their future. Rail Deck Park is such a moment. It is the type of big city-building move that Toronto is ready for.",303,2020-01-23 16:09,Twitter for iPhone,288,53,joe_cressy,1.22E+18,,416025003,FALSE,https://t.co/tVYKwUb2gA,en,January,Q1
"Today I signed an Executive Order making new resources available for mental health services, allocating additional funding for family resource centers, and bolstering DCYF services - while utilizing grant funding to create nurturing learning environments for children across NH.",302,2020-01-23 16:20,Twitter Web App,93,40,GovChrisSununu,1.22E+18,,8.16E+17,FALSE,https://t.co/gKuZIj42Ka,en,January,Q1
"The richest 1% is full of tax cheats. They are responsible for 70% of all unpaid taxes in America. 

If they just paid what they owe, we could build 26 million affordable homes—more than enough for every family paying half their income or more on housing.",279,2020-01-23 21:37,Twitter Web App,8413,2153,SenSanders,1.22E+18,,29442313,FALSE,https://t.co/JOx7NEsECA,en,January,Q1
"Want to stay updated on District programs, events and opportunities?  

📩Sign up for our newsletter:",148,2020-01-23 21:38,Twitter for iPhone,3,3,MayorBowser,1.22E+18,976542720,976542720,FALSE,https://t.co/n6uIvavZ8D,en,January,Q1
