,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
2,"This morning, I spoke with @NATO Secretary General @JensStoltenberg about yesterday’s helicopter crash. He offered his condolences and assistance in the coming days as we look into how this tragedy occurred.",207,2020-04-30 23:45:29,Twitter for iPhone,1041,137,en,False,April
8,"Our hearts go out to the loved ones of Sub-Lieutenant Abbigail Cowbrough. While the search operation is underway, we’re keeping the families and friends of the other members in our thoughts. And to all our @CanadianForces members, we’re thinking of you during this difficult time.",280,2020-04-30 21:36:33,Twitter for iPhone,830,106,en,False,April
9,"Four members of the Royal Canadian Air Force and two members of the Royal Canadian Navy were on board the helicopter that crashed off the coast of Greece yesterday. We can confirm the loss of one life, and search efforts for the other five missing members continue.",265,2020-04-30 21:36:32,Twitter for iPhone,2185,329,en,False,April
14,HAPPENING NOW: I’m speaking about yesterday’s incident that took place off the coast of Greece involving members of our @CanadianForces. Watch live: https://t.co/Vxzsv0tbZm,172,2020-04-30 15:28:08,Twitter for iPhone,520,118,en,False,April
16,"Earlier today, I spoke with Premier @jkenney about the latest developments on the flooding in Fort McMurray and assured him the federal government stands ready to help. More on our call here: https://t.co/q53RJk7oM7",215,2020-04-30 03:30:44,Twitter for iPhone,566,125,en,False,April
18,"To our friends and neighbours in Fort McMurray, all Canadians are keeping you in our thoughts. I spoke with your mayor, @DonaldKScott, this afternoon and I let him know we’re ready to help now and in the days and weeks ahead with recovery efforts.",247,2020-04-30 03:16:58,Twitter for iPhone,3088,339,en,False,April
20,"I talked to Prime Minister @ScottMorrisonMP earlier today. We spoke last month about COVID-19 and agreed to stay in touch as the situation evolved in Canada, in Australia, and around the world. For a summary of what we talked about today, click here: https://t.co/Iz8BuEnAim",274,2020-04-30 03:07:20,Twitter for iPhone,419,74,en,False,April
22,"A Canadian helicopter involved in Op REASSURANCE with NATO allies has gone missing off the coast of Greece. I have spoken with Minister @HarjitSajjan, and search and rescue efforts are currently underway. Updates will be provided as soon as possible.",250,2020-04-30 00:17:21,Twitter for iPhone,3479,812,en,False,April
24,"I spoke with the @EU_Commission’s @vonderleyen today about COVID-19 and coordinating global efforts to develop and distribute vaccines, treatments, and testing. We’ll keep working together so there’s a strong and sustainable recovery for the long term. https://t.co/PFF1W3br65",276,2020-04-29 20:51:58,Twitter for iPhone,997,211,en,False,April
28,"We announced our plan to help students last week. And since then, we’ve been working with other parties to get you - and students across the country - this help as quickly as possible. That’s what we’re working on in Parliament this afternoon. I’ll keep you posted, so stay tuned. https://t.co/P1rMpOPHN9",304,2020-04-29 19:47:25,Twitter for iPhone,2320,383,en,False,April
30,I’m giving an update on the evolving COVID-19 pandemic and talking about what our government will be focused on when MPs meet in the House of Commons again this afternoon. Tune in now for the details: https://t.co/s48L7HykhF,224,2020-04-29 15:02:33,Twitter for iPhone,703,154,en,False,April
32,"Update on personal protective equipment: We’ll be sending over 6 million surgical masks to the provinces and territories this week. More than 100,000 face shields from @BauerHockey and Toronto Stamp are also ready and will be shipped out soon - and there are more on the way.",275,2020-04-29 01:28:46,Twitter for iPhone,4105,635,en,False,April
36,"Spoke with Premier @fordnation again today. We talked about what we’re doing to keep Ontarians safe and supported right now, as well as the work we’ll need to do with governments across the country to defeat COVID-19 and gradually reopen the economy. https://t.co/Noj6JvtAJP",274,2020-04-29 00:08:56,Twitter for iPhone,666,92,en,False,April
40,"I spoke with Prime Minister @NarendraModi about COVID-19 today. We talked about the need for international cooperation as we work on responding to the pandemic, stabilizing our economies, developing treatments and vaccines, and more. Read a summary here: https://t.co/7YwG0ZX8bQ",278,2020-04-28 22:04:38,Twitter for iPhone,1360,282,en,False,April
46,"If you’d like to read the shared principles the provinces and territories have agreed on, and learn more about how we’ll lift measures responsibly so we don’t lose the progress we’ve made so far, click here: https://t.co/lqKLPKFwsO",231,2020-04-28 19:44:08,Twitter for iPhone,630,123,en,False,April
47,These shared principles lay out the things that need to happen before we can start lifting public health restrictions. Keeping you safe will always be our top priority. More on our agreement: https://t.co/kjudrqmSCY,215,2020-04-28 19:44:08,Twitter for iPhone,969,156,en,False,April
48,You want to know when things will get back to normal - when you can go back to work or see your friends again. That’s why we’ve worked with the provinces and territories to reach an agreement on shared principles for gradually and carefully restarting the economy.,264,2020-04-28 19:44:07,Twitter for iPhone,7026,853,en,False,April
52,We’re going to help you get through the COVID-19 pandemic. Tune in now for the latest on the steps we’ve taken and will be taking this week to support you and your family as this situation continues to evolve: https://t.co/BZXCDaCIEQ,233,2020-04-28 15:08:14,Twitter for iPhone,696,132,en,False,April
56,"I spoke with my mom, and thankfully she’s doing fine. Thanks to everyone who reached out and sent us well wishes. I’d also like to thank the first responders for their incredible work, and I’m keeping the other families affected by this fire in my thoughts today.",263,2020-04-28 14:12:53,Twitter for iPhone,22588,1401,en,False,April
58,"Today, we pay tribute to all those who have died, were injured, or fell ill on the job. We all need to do our part to protect workers. Right now, that includes staying home to keep front line workers safe. My statement on the National Day of Mourning: https://t.co/OW1QsC25Ua",275,2020-04-28 13:02:53,Twitter for iPhone,2461,631,en,False,April
